Rank,Gender,Department,Department_Other,H,State,Salary_Dependency_In_Month,Salary_Dependency_In_Month_Other,Research_Funded_By_External_Grants,Deadline_Today,Workload_Today,Workplace,Workplace_Other,RS,WH,TWR,TWT,TWA,TWO,TW_Sum,BR,BR_Other,Email,Proposal,NP,Funding_Agency,Funding_Agency_Other,P_SR,AP,P_AR,P_DWH,P_DWR,P_DWT,P_DWA,P_DWO,P_DW_SUm,PDR,PDT,PDA,PDO,PD_Sum,P_T,P_DS,P_Disrupted_Research,P_Disrupted_Sleep,P_Disrupted_Diet,P_Disrupted_PA,P_Disrupted_IR,About_Proposal_Deadline,Conference,NCP,CR,C_SR,ACP,AR,C_DWH,C_DWR,C_DWT,C_DWA,C_DWO,C_DW_Sum,DDR,CDT,CDA,CDS,CD_Sum,C_T,C_DS,C_Disrupted_Research,C_Disrupted_Sleep,C_Disrupted_Diet,C_Disrupted_PA,C_Disrupted_IR,About_Conf_Deadline,how_mentally_demanding_was,how_physically_demanding_w,how_hurried_or_rushed_was,how_successful_were_you_in,how_hard_did_you_have_to_w,how_insecure_discouraged_i,i_feel_pleast,i_feel_nervous_and_restles,i_feel_satisfied_with_myse,i_wish_i_could_be_as_happy,i_feel_like_a_failure,i_feel_rested,i_am_calm_cool_and_collect,i_feel_that_difficulties_a,i_worry_too_much_over_some,i_am_happy,i_have_disturbing_thoughts,i_lack_self_confidence,i_feel_secure,i_make_decisions_easily,i_feel_inadequate,i_am_content,some_unimportant_thought_r,i_take_disappointments_so,i_am_a_steady_person,i_get_in_a_state_of_tensio,is_talkative,is_reserved,is_curious_about_many_diff,is_full_of_energy,starts_quarrels_with_other,is_a_reliable_worker,can_be_tense,does_a_through_job,gets_nervous_easily,is_ingenious_a_deep_thinke,take_some_time_off_and_get,focus_on_the_problem_and_s,blame_myself_for_having_go,treat_myself_to_a_favorite,feel_anxious_about_not_bei,think_about_how_i_solved_s,visit_a_friend,determine_a_course_of_acti,ciss9,blame_myself_for_being_too,work_to_understand_the_sit,become_very_upset,take_corrective_action_imm,blame_myself_for_not_knowi,spend_time_with_a_special,think_about_the_event_and,wish_that_i_could_change_w,go_out_fora_snack_or_meal,analyze_my_problem_before,focus_on_my_general_inadeq,phone_a_friend
Associate Professor,Female,Other,Information and Logistics Technology,8,Texas,Three months,,Not funded,Yes,Standard,Office,,Hands-on,> 50,20,50,20,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,< 10%,2-4 weeks,< 1 month,More,40,40,10,10,100,80,20,0,0,100,1-3 hours before deadline,Significantly  more,4,4,3,3,4,Interval deadlines could work. What interval would work best is a research question in its own right.,Yes,2,B,50-75%,2-4 weeks,1-3 months,More,60,40,0,0,100,80,20,0,0,100,3-6 hours before deadline,Same,3,3,2,2,2,I think these deadlines work well the way they are.,3,1,3,3,5,3,4,2,2,2,2,2,4,1,2,4,1,2,3,3,2,3,2,1,4,2,5,5,1,4,3,3,2,5,1,3,2,5,5,2,2,4,2,5,1,1,5,1,4,4,2,4,4,2,5,4,4
Professor,Male,Other,Pharmacy,39,Texas,2 months,2 months,Fully funded,Yes,Standard,Office,,Hands-off,40-50,50,20,0,30,100,Every hour,,Answer email as it comes,Yes,2,NIH,,10-20%,> 2 months,> 12 months,Significantly more,80,10,0,10,100,100,,,,100,1 day before deadline,Same,3,3,3,3,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,1,1,5,4,2,2,2,3,2,1,1,2,2,1,1,2,2,3,3,1,2,1,2,1,2,5,5,4,4,4,1,1,4,2,5,4,4,2,3,4,5,4,4,4,4,4,2,4,2,4,4,2,2,4,1,4
Assistant Professor,Female,Other,Optometry,16,Texas,Three months,,75-50%,Yes,Standard,Home,,Hands-off,40-50,50,30,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NIH,,50-75%,1-2 months,6-12 months,More,70,10,10,10,100,100,0,0,0,100,1 day before deadline,Significantly  more,3,2,2,2,2,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,3,4,4,4,4,3,2,3,2,2,4,3,2,2,3,2,2,3,4,2,3,2,2,3,2,4,4,2,4,1,2,3,3,4,4,3,5,3,5,4,4,2,5,5,2,5,4,5,3,3,5,4,4,3,4,2
Professor,Male,Other,Health and Human Performance,46,Texas,Three months,,100-75%,Yes,Standard,Office,,Hands-off,> 50,30,10,50,10,100,Other,once per day,Answer email in batches once  or twice per day,Yes,3,NIH,,20-30%,> 2 months,> 12 months,More,40,10,40,10,100,40,10,40,10,100,1 day before deadline,Same,3,2,1,2,2,,Yes,3,A,50-75%,2-4 weeks,> 12 months,About the same,30,10,50,10,100,30,10,50,10,100,1 day before deadline,Same,2,1,1,1,1,,5,2,4,6,5,2,3,2,3,2,1,3,3,2,1,3,2,1,4,3,1,3,2,1,3,2,4,5,2,4,4,4,3,5,2,4,4,5,2,3,2,5,4,5,1,2,5,2,4,2,4,4,2,4,5,1,4
Professor,Male,Computer Science,,35,Texas,Three months,,100-75%,No,Light,Office,,Hands-off,40-50,70,20,0,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,3,NSF,,10-20%,> 2 months,6-12 months,Significantly more,80,20,0,0,100,90,10,0,0,100,1-3 hours before deadline,Significantly  more,3,2,2,2,2,,Yes,>= 10,A*,30-50%,> 2 months,3-6 months,Significantly more,70,20,0,10,100,90,10,0,0,100,Minutes before deadline,Significantly  more,3,2,2,2,2,,1,1,1,4,3,1,4,1,4,1,1,3,3,2,1,4,1,1,4,3,4,4,2,1,4,1,4,3,1,5,1,4,1,4,2,5,4,3,2,3,2,2,3,4,3,2,4,1,3,2,4,3,2,4,3,1,3
Assistant Professor,Male,Other,Technology,11,Texas,Three months,,100-75%,Yes,Heavy,Office,,Hands-on,> 50,70,20,,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,50-75%,2-4 weeks,1-3 months,Significantly more,90,10,,0,100,100,0,0,0,100,1-3 hours before deadline,Extremely  more,4,5,4,5,2,"Although I have not experience it yet, I am favorable of the no deadline approach introduced by NSF in certain directorates/divisions.",Yes,1,C,> 90%,1-2 weeks,1-3 months,More,80,10,,10,100,70,20,NA,10,100,1-3 hours before deadline,Same,3,3,3,3,3,,5,2,6,5,5,4,3,2,2,3,2,2,2,2,3,3,1,3,2,2,3,2,3,2,2,2,5,4,4,3,2,4,2,5,4,4,3,4,2,3,3,4,4,4,1,4,4,3,4,3,5,4,4,1,4,4,3
Professor,Male,Other,Sociology,24,Texas,Three months,,25-1%,No,Heavy,Office,,Hands-on,> 50,30,20,40,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,20-30%,> 2 months,> 12 months,Significantly more,70,10,10,10,100,100,0,0,0,100,1-3 hours before deadline,Significantly  more,5,4,3,3,5,"The way the process works at my university I must arrange my schedule so I can give all of my time if needed to chase down glitches in the routing and submission process.  Personally, I prefer a couple of concentrated days of intense effort to a long drawn out process.",Yes,2,A,75-90%,> 2 months,3-6 months,More,50,20,20,10,100,50,20,20,10,100,1 day before deadline,Significantly  more,3,2,2,2,2,"I listed ""A"" for the CORE item because I attend the top conferences in my field.  But that is potentially an error.  I am in the social sciences (population, demography, sociology).  None of the top conferences in my area were listed on the information page.  ",5,2,4,5,5,2,4,2,3,3,2,2,4,2,4,3,1,2,3,3,2,4,2,1,4,1,4,4,1,4,3,3,2,4,1,4,2,5,4,2,2,5,3,4,1,1,5,2,4,3,3,5,3,1,5,2,3
Professor,Male,Mathematics,,13,Texas,Three months,,50-25%,No,Standard,Office,,Hands-off,< 30,30,30,20,20,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,Private Foundation,Education Advancement Foundation (a private foundation),> 90%,2-4 weeks,3-6 months,About the same,30,30,20,20,100,70,30,0,0,100,2 or more days before deadline,Same,3,1,1,1,1,"My proposals are mostly to a private donor, so probably my answers are not too relevant for this study.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,1,5,3,1,4,1,4,1,1,3,4,1,1,4,1,1,4,2,1,4,2,1,4,1,1,5,4,4,2,5,1,4,1,5,1,4,3,3,1,5,5,4,1,1,4,1,4,1,4,5,2,1,5,1,4
Professor,Male,Biology,,45,Texas,Three months,,50-25%,Yes,Heavy,Office,,Hands-off,> 50,30,20,30,20,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,30-50%,> 2 months,3-6 months,More,80,0,20,0,100,80,0,20,0,100,3-6 hours before deadline,Significantly  more,4,3,3,2,3,Deadlines focus the mind,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,2,4,3,5,2,2,3,2,2,2,2,3,2,1,3,1,1,3,3,1,2,1,1,4,1,1,3,1,5,5,5,1,5,1,2,3,4,3,2,2,4,3,5,1,1,4,2,4,1,3,4,4,3,4,1,3
Associate Professor,Male,Chemistry,,22,Texas,Three months,,100-75%,No,Light,Home,,Hands-off,> 50,50,30,10,10,100,Every hour,,Answer email in batches once  or twice per day,Yes,2,NSF,,10-20%,> 2 months,6-12 months,Significantly more,90,10,,,100,100,,,,100,1 day before deadline,Significantly  more,4,5,5,5,4,"IMHO and experience, installing rolling deadlines will increase the quality of proposals and decrease the number of proposals.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,2,3,5,4,3,4,3,4,1,1,2,3,2,2,4,1,1,3,3,1,4,2,3,4,2,5,5,1,4,4,4,1,5,4,5,4,5,5,5,3,5,4,5,5,2,4,3,4,1,5,5,4,5,5,2,2
Assistant Professor,Male,Computer Science,,15,Texas,Three months,,100-75%,No,Standard,Home,,Hands-off,> 50,50,30,10,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,30-50%,2-4 weeks,6-12 months,About the same,70,20,10,0,100,60,20,10,10,100,1 day before deadline,Same,2,3,1,1,2,,Yes,>= 10,A*,30-50%,1-2 weeks,3-6 months,Significantly more,90,10,0,0,100,100,0,0,0,100,1-3 hours before deadline,Extremely  more,2,4,2,2,2,,4,1,2,4,4,1,2,3,2,3,2,2,2,1,1,2,2,2,2,3,3,2,1,3,2,2,4,5,3,2,3,3,2,4,5,4,2,4,1,4,4,4,2,4,1,1,4,2,2,2,4,4,3,4,3,3,3
Professor,Female,Biology,,19,Texas,Three months,,Not funded,No,Standard,Home,,Hands-off,> 50,10,70,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NSF,,75-90%,> 2 months,3-6 months,More,50,40,10,0,100,90,10,0,0,100,1 day before deadline,Significantly  more,1,2,3,4,2,"The granting agencies keep changing formats, requirements, and online submission sites. Just keeping up with those is a job in itself.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,3,2,6,4,1,4,1,3,1,1,3,3,1,2,3,1,2,3,3,1,3,1,2,3,1,4,4,1,3,1,2,1,5,2,5,3,4,2,3,2,5,4,4,1,1,5,1,3,2,4,5,4,2,4,1,3
Professor,Male,Computer Science,,43,Virginia,Three months,,Fully funded,No,Standard,Office,,Hands-on,> 50,70,10,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,DOD,,10-20%,1-2 months,> 12 months,More,80,10,10,0,100,80,10,10,0,100,3-6 hours before deadline,Significantly  more,2,3,2,2,2,,Yes,4,A*,10-20%,1-2 months,6-12 months,About the same,70,10,10,10,100,80,10,10,,100,1-3 hours before deadline,Same,2,1,1,1,1,,4,2,1,6,4,1,3,1,3,1,1,3,3,1,1,3,1,1,4,4,1,3,1,1,4,1,3,4,1,3,4,4,4,5,1,5,2,5,4,3,1,5,4,5,3,2,5,2,5,3,4,5,2,4,5,2,4
Professor,Male,Chemistry,,28,Texas,1.5,1.5,Fully funded,No,Standard,Home,,Hands-on,40-50,50,30,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NIH,,30-50%,> 2 months,3-6 months,Significantly more,70,20,10,0,100,100,,,,100,1 day before deadline,Extremely  more,3,3,1,2,2,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,7,2,3,5,5,4,3,2,3,2,2,3,3,2,2,4,2,2,3,4,2,3,2,2,3,3,4,5,1,3,1,5,4,5,3,4,3,5,3,3,4,5,3,5,1,4,5,3,4,4,4,4,2,2,3,2,2
Associate Professor,Male,Engineering,,17,Texas,Three months,,75-50%,Yes,Heavy,Office,,Hands-on,> 50,30,30,30,10,100,Every 3-4 hours,,Answer email as it comes,Yes,5,NASA,,20-30%,2-4 weeks,6-12 months,More,60,10,20,10,100,70,10,10,10,100,1 day before deadline,Extremely  more,5,5,4,4,4,,Yes,2,A,75-90%,2-4 weeks,6-12 months,Significantly more,50,20,20,10,100,60,10,20,10,100,1 day before deadline,Extremely  more,5,5,4,4,4,,7,4,7,2,7,7,2,4,3,2,1,1,2,4,2,3,2,1,4,3,1,2,2,2,4,4,1,5,1,3,1,3,4,5,2,5,4,4,2,1,4,4,4,4,2,1,5,2,4,1,4,5,4,2,5,2,4
Professor,Male,Computer Science,,21,Texas,Three months,,25-1%,Yes,Standard,Home,,Hands-on,> 50,50,30,,20,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,< 10%,1-2 months,3-6 months,Significantly more,70,20,,10,100,90,10,,,100,1-3 hours before deadline,Extremely  more,2,2,2,2,2,,Yes,3,A*,30-50%,1-2 months,3-6 months,Significantly more,90,10,,,100,90,10,NA,,100,1 day before deadline,Significantly  more,2,2,2,2,2,,3,3,3,3,3,3,4,1,4,1,1,4,4,1,1,4,1,1,4,4,1,4,1,1,4,1,1,5,2,5,5,4,1,4,1,5,5,5,1,1,1,5,4,5,1,1,5,1,5,1,4,5,1,1,5,1,3
Professor,Male,Biology,,60,Texas,Three months,,Fully funded,No,Light,Home,,Hands-off,40-50,70,10,10,10,100,Other,I don't take breaks,Answer email as it comes,Yes,1,NSF,,30-50%,> 2 months,6-12 months,About the same,80,10,0,10,100,70,10,10,10,100,2 or more days before deadline,Same,3,1,1,1,1,"I always have proposals ready weeks in advance, precisely to avoid the type of stress that I see in my colleagues as they prepare proposals.  I don't understand why they wait until the last minute.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,1,4,4,4,3,3,2,3,2,1,2,3,1,1,3,1,1,4,4,1,3,1,1,4,1,2,5,1,4,4,5,1,4,1,5,2,4,2,3,2,4,2,5,2,2,5,1,4,1,1,4,1,2,4,1,1
Associate Professor,Male,Chemistry,,18,Texas,Three months,,50-25%,No,Standard,Office,,Hands-on,40-50,60,30,0,10,100,Every 3-4 hours,,Answer email as it comes,Yes,4,NSF,,< 10%,> 2 months,6-12 months,Significantly more,90,10,0,0,100,60,,0,40,100,1 day before deadline,Significantly  more,1,4,5,4,4,"Over the arc of my career, I have moved my work earlier and had less stressful submission days. Still, a non-responsive grants administrator, or a failing document/computer issue can cause calamity. I once had to fully rebuild a reference section 50 minutes before the deadline. . . this past year, I have had many more peaceful submission days.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,2,4,6,4,4,2,3,2,2,2,2,2,2,3,2,1,3,2,1,2,2,3,3,3,2,2,4,4,3,2,5,3,4,4,4,2,4,5,3,4,4,4,3,1,4,4,3,2,4,5,4,4,4,2,4,3
Professor,Male,Engineering,,13,Texas,Three months,,Fully funded,No,Standard,Home,,Hands-on,40-50,40,20,30,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NSF,,75-90%,> 2 months,< 1 month,Significantly more,50,10,40,0,100,40,20,40,0,100,1-3 hours before deadline,Significantly less,3,3,4,4,3,Programmatic deadlines are rigid  even when the government shots down.  The wait for the review process is too long.,Yes,2,B,> 90%,> 2 months,< 1 month,More,70,10,20,0,100,40,20,30,10,100,2 or more days before deadline,Same,2,2,2,2,2,,5,1,4,6,6,1,4,2,4,1,1,2,4,2,1,4,1,1,4,4,1,4,1,2,4,2,2,5,1,4,1,3,1,5,4,5,4,2,4,2,4,5,3,5,1,1,5,3,2,1,4,5,4,1,4,2,5
Associate Professor,Male,Biology,,30,New Mexico,Three months,,25-1%,No,Heavy,Office,,Hands-off,> 50,50,30,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NSF,,< 10%,> 2 months,1-3 months,More,60,20,10,10,100,70,20,10,0,100,2 or more days before deadline,Significantly  more,4,5,3,3,3,NSF's no-deadline system is great,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,3,4,5,5,6,2,3,3,2,1,2,3,4,4,2,1,2,3,3,2,3,3,2,3,2,4,2,2,3,2,2,4,4,4,5,2,5,4,5,3,4,2,4,4,1,4,2,4,2,2,4,4,4,4,3,4
